text,text_clean,auto_label
"Заказали 14.10.2017 , получили 25.10.2017 
На мой размер 42, широкий как мешок. Надо было все таки размер  S заказать. 
По поводу качества хороший пуховик. 
Мех натуральный , съемный. 
Буду продавать .","заказали 14.10.2017 , получили 25.10.2017 на мой размер 42, широкий как мешок. надо было все таки размер  s заказать. по поводу качества хороший пуховик. мех натуральный , съемный. буду продавать .",одежда
"футболка хорошего качества,но футболка не как для девушек и женщин,а как на мужчину. она очень свободная. на свой М, заказала Л. теперь не знаю что делать,ибо она мне велика, даже моему папе она полезет.","футболка хорошего качества,но футболка не как для девушек и женщин,а как на мужчину. она очень свободная. на свой м, заказала л. теперь не знаю что делать,ибо она мне велика, даже моему папе она полезет.",одежда
Все отлично!!!,все отлично!!!,нет товара
"Рисунок не очень чёткий, а ткань прозрачная, видно нижнее бельё","рисунок не очень чёткий, а ткань прозрачная, видно нижнее бельё",текстиль
"плохо!!!Низ рваный..деньги не вернули!Открыла спор,но его почему то закрыли","плохо!!!низ рваный..деньги не вернули!открыла спор,но его почему то закрыли",нет товара
"обычная майка с ужасным запахом, есть косяки на белой надписи как краска","обычная майка с ужасным запахом, есть косяки на белой надписи как краска",одежда
"Все как на фото, и цвет и форма.","все как на фото, и цвет и форма.",одежда
"Но рост 180 по колено,качество хорошее,доставка быстрая","но рост 180 по колено,качество хорошее,доставка быстрая",обувь
Не подошло по размеру. Ткань тоже не понравилась,не подошло по размеру. ткань тоже не понравилась,одежда
"очень крутой топ,заказала 11.11 пришел 28.11 еще и курьер принес","очень крутой топ,заказала 11.11 пришел 28.11 еще и курьер принес",одежда
"брак,очень растроенна","брак,очень растроенна",нет товара
криво пошита ткань. большой размер.,криво пошита ткань. большой размер.,одежда
"Отвратительное качество материала. Продавец обещает хлопок, а пришла голая синтетика. Сильный запах. ","отвратительное качество материала. продавец обещает хлопок, а пришла голая синтетика. сильный запах.",текстиль
"Качество очень даже неплохое, что хотела, синтетика немного похожа на замшу, Но, размер просто капелюшчный, на 44 размер XXL еле, еле подошёл. Я заказала 3xL, а прислали 2xl, открыла спор, никак не решили проблему. Очень обидно.","качество очень даже неплохое, что хотела, синтетика немного похожа на замшу, но, размер просто капелюшчный, на 44 размер xxl еле, еле подошёл. я заказала 3xl, а прислали 2xl, открыла спор, никак не решили проблему. очень обидно.",одежда
"Товар не получила, деньги не вернули!","товар не получила, деньги не вернули!",нет товара
"Супер!!! Очень красивая блузка, качество отличное, смотрится замечательно. Принёс курьер домой)))","супер!!! очень красивая блузка, качество отличное, смотрится замечательно. принёс курьер домой)))",одежда
"Качество хорошее, большой вырез ссади","качество хорошее, большой вырез ссади",одежда
"Товар так и не пришел. Заказала 6 июля, сейчас конец сентября, но ни слуху ни духу. Открыла спор и деньги вернули, но из минусов - оооочень долгое ожидание, которое так ни к чему и не привело и трек не отслеживался.","товар так и не пришел. заказала 6 июля, сейчас конец сентября, но ни слуху ни духу. открыла спор и деньги вернули, но из минусов - оооочень долгое ожидание, которое так ни к чему и не привело и трек не отслеживался.",нет товара
ужасная юбка. один бок намного короче другого. не заказывайте такой товар.,ужасная юбка. один бок намного короче другого. не заказывайте такой товар.,одежда
"Это вторая, обе S, но разница видна. И пришлось взять в руки иголку, так как были косяки. Но они очень удобны и комфортные для работы.","это вторая, обе s, но разница видна. и пришлось взять в руки иголку, так как были косяки. но они очень удобны и комфортные для работы.",обувь
"Доставка 2 месяца до Смоленска. Ткань голая синтетика. Пуговицы еле держатся. На параметры ОГ 91, ОТ 68, плечи 40 размер М в самый раз.","доставка 2 месяца до смоленска. ткань голая синтетика. пуговицы еле держатся. на параметры ог 91, от 68, плечи 40 размер м в самый раз.",одежда
"заказала размер L,чтобы было свободно(сама ношу S).По факту штаны на наш размер S,очень тугая резинка, кофта на наш размер M.Про ткань скажу только, что такое даже иногда носить вредно на теле,сплошная синтетика(","заказала размер l,чтобы было свободно(сама ношу s).по факту штаны на наш размер s,очень тугая резинка, кофта на наш размер m.про ткань скажу только, что такое даже иногда носить вредно на теле,сплошная синтетика(",одежда
"Отличные штаны,  очень тёплые. Доставка 3 недели. На объем бедер 104 см отлично подошёл размер XXL .","отличные штаны,  очень тёплые. доставка 3 недели. на объем бедер 104 см отлично подошёл размер xxl .",одежда
"Цвет черный а не темно синий , обидно. Шапка хорошая.","цвет черный а не темно синий , обидно. шапка хорошая.",одежда
блузка очень хорошего качества. доставка меньше месяца. всем довольна.,блузка очень хорошего качества. доставка меньше месяца. всем довольна.,одежда
"Качество ткани хорошее.В блузке есть 1 большой минус не симетричны сделаны складки .Должны быть по центру ,а они с боку т.е.брак.Продовец по общению хороший.По размеру идеально.","качество ткани хорошее.в блузке есть 1 большой минус не симетричны сделаны складки .должны быть по центру ,а они с боку т.е.брак.продовец по общению хороший.по размеру идеально.",одежда
"Я думала, что свитер будет более толстым , а на самом деле он тонкий. Свитер приятный, мягкий, но с ним явно что-то не так, он выглядит так, будто его растянули . Продавец положил подарочек и ароматизаторы с запахом роз","я думала, что свитер будет более толстым , а на самом деле он тонкий. свитер приятный, мягкий, но с ним явно что-то не так, он выглядит так, будто его растянули . продавец положил подарочек и ароматизаторы с запахом роз",одежда
"ткань очень тонкая,платье смотрится совсем по-другому","ткань очень тонкая,платье смотрится совсем по-другому",одежда
"На 2 размера меньше пришел , плохо прошит , полоски стерлись на следующий день , синтетик и не теплый","на 2 размера меньше пришел , плохо прошит , полоски стерлись на следующий день , синтетик и не теплый",обувь
заказ не пришёл! Деньги не вернули,заказ не пришёл! деньги не вернули,нет товара
"Футболка классная! Маловата немного, берите на размер больше! Шла около месяца ","футболка классная! маловата немного, берите на размер больше! шла около месяца",одежда
"Понравилось,чуток в длину великовата (рост 155) цвет крутой, очень модный в этом сезоне.","понравилось,чуток в длину великовата (рост 155) цвет крутой, очень модный в этом сезоне.",одежда
"красивый только цвет. фактура тон
кая, хоть и мягкая, и тёплая. фурнитура дешевая: шнурок, бегунок молнии. качество швов  ужасное, на самом видном месте торчат нитки","красивый только цвет. фактура тонкая, хоть и мягкая, и тёплая. фурнитура дешевая: шнурок, бегунок молнии. качество швов  ужасное, на самом видном месте торчат нитки",одежда
"заказала размер s, платье оказалось очень велико, придётся ушивать, материал синтетика, пришло очень быстро за 13 дней","заказала размер s, платье оказалось очень велико, придётся ушивать, материал синтетика, пришло очень быстро за 13 дней",одежда
"Прекрасная туника. Качество на высшем уровне,продавец очень общительный.Идет размер в размер. Я довольна покупкой,советую и товар и этого продавца","прекрасная туника. качество на высшем уровне,продавец очень общительный.идет размер в размер. я довольна покупкой,советую и товар и этого продавца",одежда
Wery Good,wery good,нет товара
"Юбка пришла с задержками но пришла ,очень хорошая,на рост 145 самое то но подтяжки свободно","юбка пришла с задержками но пришла ,очень хорошая,на рост 145 самое то но подтяжки свободно",одежда
видела бы в магазине - не купила бы... качество отстой,видела бы в магазине - не купила бы... качество отстой,обувь
Слишком тонкие ,слишком тонкие,обувь
отличное качество товаров,отличное качество товаров,нет товара
"Просвечивает и короткая, хотя на фото она не такая прозрачная","просвечивает и короткая, хотя на фото она не такая прозрачная",нет товара
"Плохо прошиты швы, в этих местах материал собирается","плохо прошиты швы, в этих местах материал собирается",одежда
"Тёплые, цвет соответствует картинке. По размеру подошли. Всё отлично.","тёплые, цвет соответствует картинке. по размеру подошли. всё отлично.",одежда
"заказ шёл ну очень долго, да еще и как нарочно они коротки мне. вцелом осталась не довольна. заказывала М(мой рост 168, об 87) у кого ножки длинные можно L заказать","заказ шёл ну очень долго, да еще и как нарочно они коротки мне. вцелом осталась не довольна. заказывала м(мой рост 168, об 87) у кого ножки длинные можно l заказать",обувь
"пришла за 23 дня.качество прекрасное.ткань похожа на плотный стрейч, на осень прекрасно. кружево мягкое.","пришла за 23 дня.качество прекрасное.ткань похожа на плотный стрейч, на осень прекрасно. кружево мягкое.",одежда
джинсы пришли с пятнами,джинсы пришли с пятнами,одежда
"ткань довольно тонкая, но я брала для косплея, так что норм. размер S на мои 91-66-97 довольно свободно висит, на рост ~170 по длине великовато","ткань довольно тонкая, но я брала для косплея, так что норм. размер s на мои 91-66-97 довольно свободно висит, на рост ~170 по длине великовато",одежда
"была маленькая дырочка, и полноразмерная","была маленькая дырочка, и полноразмерная",одежда
"материал плохой, просвечает и одна сентетика","материал плохой, просвечает и одна сентетика",текстиль
все супер! доставка месяц) спасибо продавцу)),все супер! доставка месяц) спасибо продавцу)),нет товара
"Очень милая и приятная на ощупь, пришла очень быстро","очень милая и приятная на ощупь, пришла очень быстро",одежда
"Качество нормальное. Но сильно маломерят. Заказала М, а она в лучшем случае ХS. ","качество нормальное. но сильно маломерят. заказала м, а она в лучшем случае хs.",обувь
"Очень милые носочки, качество не плохое","очень милые носочки, качество не плохое",обувь
"мало того, что заказ отправили не туда. так еще и деньги не возвращают","мало того, что заказ отправили не туда. так еще и деньги не возвращают",нет товара
"Заказ шел 2 недели. Думала, что качество будет получше, да еще и дырка на штанах. Вообщем не очень понравились.","заказ шел 2 недели. думала, что качество будет получше, да еще и дырка на штанах. вообщем не очень понравились.",обувь
не пришли!!! спор ничего не дал! не берите к этого продавца ничего.,не пришли!!! спор ничего не дал! не берите к этого продавца ничего.,нет товара
"Заказывала М на 165 рос 60 кг,  но было мол мерка не влезла. качество отличное","заказывала м на 165 рос 60 кг,  но было мол мерка не влезла. качество отличное",обувь
Самый долгий заказ на Алиэкспресс.,самый долгий заказ на алиэкспресс.,нет товара
платье велико в бедрах. хоть и размер с. быстрая доставка. смотрится не очень. вырез ворота ужасный.,платье велико в бедрах. хоть и размер с. быстрая доставка. смотрится не очень. вырез ворота ужасный.,одежда
Трусы не пришли,трусы не пришли,обувь
"много торчащих ниток,внутри шов на шортах не ровный,и где лиф ажур вообще неровный","много торчащих ниток,внутри шов на шортах не ровный,и где лиф ажур вообще неровный",обувь
Супер-пупер! Пришло за 17 дней по бесплатной доставке !!! Очень понравилось как смотрится ,супер-пупер! пришло за 17 дней по бесплатной доставке !!! очень понравилось как смотрится,обувь
"это прям ужас, не поняла восторженных отзывов, мне носить не хочется, тряпка! везде нитки, швы никакие.","это прям ужас, не поняла восторженных отзывов, мне носить не хочется, тряпка! везде нитки, швы никакие.",обувь
"Ткань тонкая, размер L идёт на М ","ткань тонкая, размер l идёт на м",одежда
"платье не подходит по описанию очень плохо,теперь что делать незнаю!больше не одну вещь тут не закажу,!","платье не подходит по описанию очень плохо,теперь что делать незнаю!больше не одну вещь тут не закажу,!",одежда
"колготки очень короткие, на пост 162 не подошли совсем! стрелка не очень ровная и толстая. не советую здесь покупать.","колготки очень короткие, на пост 162 не подошли совсем! стрелка не очень ровная и толстая. не советую здесь покупать.",обувь
"Качество не очень понравилось, синтетика и тонкая очень. И с размером не угадала- большая мне.","качество не очень понравилось, синтетика и тонкая очень. и с размером не угадала- большая мне.",одежда
"товар пришел быстро. но без толку.
 вещь являет собой просто вырезанную тряпочку с одними лишь боковыми швами. ни горловина, ни низ, ни пройма даже не оверложены!
убожество!!!","товар пришел быстро. но без толку. вещь являет собой просто вырезанную тряпочку с одними лишь боковыми швами. ни горловина, ни низ, ни пройма даже не оверложены!убожество!!!",одежда
